id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
2319,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,46,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,ActiveSupport::PerThreadRegistry.instance,39
2320,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,48,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,ActiveSupport::PerThreadRegistry.instance,39
2321,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,ActiveRecord::RuntimeRegistry.connection_handler,38
2322,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/core_ext/class/attribute.rb,106,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,ActiveRecord::Base.default_connection_handler,38
2323,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::Base.default_connection_handler,37
2324,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,132,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::Base.connection_handler,37
2325,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,96,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::ConnectionHandling.connection_specification_name,37
2326,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,101,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::ConnectionHandling.connection_specification_name,37
2327,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1019,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::ConnectionAdapters::ConnectionHandler#connected?,37
2328,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1039,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1020,ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool,38
2329,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1058,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1040,ActiveRecord::ConnectionAdapters::ConnectionHandler#owner_to_pool,39
2330,call,vendor/bundle/gems/concurrent-ruby-1.1.5/lib/concurrent/map.rb,132,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1059,Concurrent::Map#[],40
2331,call,vendor/bundle/gems/concurrent-ruby-1.1.5/lib/concurrent/collection/map/non_concurrent_map_backend.rb,19,vendor/bundle/gems/concurrent-ruby-1.1.5/lib/concurrent/map.rb,133,Concurrent::Map#[],41
2332,return,vendor/bundle/gems/concurrent-ruby-1.1.5/lib/concurrent/collection/map/non_concurrent_map_backend.rb,21,vendor/bundle/gems/concurrent-ruby-1.1.5/lib/concurrent/map.rb,133,Concurrent::Map#[],41
2333,return,vendor/bundle/gems/concurrent-ruby-1.1.5/lib/concurrent/map.rb,144,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1059,Concurrent::Map#[],40
2334,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1060,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1040,ActiveRecord::ConnectionAdapters::ConnectionHandler#owner_to_pool,39
2335,call,vendor/bundle/gems/concurrent-ruby-1.1.5/lib/concurrent/map.rb,168,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1040,Concurrent::Map#fetch,39
