id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
169,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/querying.rb,40,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/relation.rb,560,ActiveRecord::Querying.find_by_sql,12
170,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,89,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/querying.rb,41,ActiveRecord::ConnectionHandling.connection,13
171,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,117,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,90,ActiveRecord::ConnectionHandling.retrieve_connection,14
172,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,130,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,118,ActiveRecord::Base.connection_handler,15
173,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,ActiveRecord::RuntimeRegistry.connection_handler,16
174,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,ActiveRecord::RuntimeRegistry.connection_handler,16
175,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,118,ActiveRecord::Base.default_connection_handler,15
176,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,132,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,118,ActiveRecord::Base.connection_handler,15
177,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,96,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,118,ActiveRecord::ConnectionHandling.connection_specification_name,15
178,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,96,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,98,ActiveRecord::ConnectionHandling.connection_specification_name,16
